案件ID,病害小类,病害大类,道路名称,里程km,数据来源,采集日期,星期,审核结论,驳回原因,事件等级,审核时滞天
2026000001,路框差,人行道,吉祥路,8.6,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000002,路框差,人行道,深惠路,21.5,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000003,路框差,人行道,碧新路,9.1,四轮专车,2026-09-03,周四,审核通过,,轻微,1
2026000004,路框差,人行道,清林路,9.8,两轮车,2026-08-09,周日,审核通过,,轻微,1
2026000005,路框差,人行道,龙岗大道,32.6,两轮车,2026-09-02,周三,驳回,框选不规范,轻微,1
2026000006,路框差,人行道,鹏达路,6.8,两轮车,2026-08-18,周二,审核通过,,轻微,0
2026000007,路框差,人行道,吉祥路,8.6,四轮专车,2026-08-07,周五,审核通过,,轻微,2
2026000008,路框差,人行道,吉祥路,8.6,作业车,2026-08-11,周二,审核通过,,轻微,0
2026000009,路框差,人行道,龙岗大道,32.6,作业车,2026-09-02,周三,审核通过,,轻微,0
2026000010,路框差,人行道,深惠路,21.5,作业车,2026-08-13,周四,审核通过,,轻微,0
2026000011,路框差,人行道,龙翔大道,15.8,众源车,2026-08-07,周五,驳回,超过时效,轻微,13
2026000012,路框差,人行道,新生路,8.2,两轮车,2026-08-23,周日,审核通过,,严重,1
2026000013,路框差,人行道,黄阁路,11.2,两轮车,2026-08-28,周五,审核通过,,轻微,0
2026000014,路框差,人行道,爱南路,10.4,四轮专车,2026-08-16,周日,审核通过,,轻微,2
2026000015,路框差,人行道,深惠路,21.5,作业车,2026-08-06,周四,审核通过,,轻微,0
2026000016,路框差,人行道,红棉路,18.2,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000017,路框差,人行道,布龙路,19.6,两轮车,2026-09-02,周三,审核通过,,轻微,1
2026000018,路框差,人行道,龙岗大道,32.6,众源车,2026-08-14,周五,审核通过,,轻微,6
2026000019,路框差,人行道,爱南路,10.4,作业车,2026-08-16,周日,审核通过,,轻微,0
2026000020,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026000021,路框差,人行道,吉祥路,8.6,众源车,2026-08-07,周五,审核通过,,轻微,3
2026000022,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-15,周六,驳回,框选不规范,轻微,1
2026000023,路框差,人行道,鹏达路,6.8,两轮车,2026-09-03,周四,审核通过,,轻微,1
2026000024,路框差,人行道,新生路,8.2,作业车,2026-08-19,周三,审核通过,,轻微,0
2026000025,路框差,人行道,吉祥路,8.6,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000026,路框差,人行道,红棉路,18.2,作业车,2026-08-29,周六,审核通过,,轻微,0
2026000027,路框差,人行道,深惠路,21.5,作业车,2026-08-08,周六,审核通过,,轻微,0
2026000028,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-12,周三,审核通过,,轻微,1
2026000029,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-26,周三,审核通过,,轻微,1
2026000030,路框差,人行道,黄阁路,11.2,四轮专车,2026-08-15,周六,驳回,框选不规范,轻微,2
2026000031,路框差,人行道,清林路,9.8,作业车,2026-08-22,周六,审核通过,,轻微,0
2026000032,路框差,人行道,鹏达路,6.8,作业车,2026-08-29,周六,审核通过,,轻微,0
2026000033,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-26,周三,审核通过,,轻微,2
2026000034,路框差,人行道,龙翔大道,15.8,作业车,2026-08-19,周三,审核通过,,轻微,0
